sn,population,elite_rate,crossover,mutation_rate,mutation_change,filename,error,generations
252,24,0.5,0.25,0.0,0.01,./data/models/0_2_0_0_2.csv,0.005870223186022075,17
253,24,0.5,0.375,0.0,0.01,./data/models/0_2_0_0_3.csv,0.00587018328131727,16
254,24,0.5,0.5,0.0,0.01,./data/models/0_2_0_0_4.csv,0.005870144136427323,44
255,24,0.5,0.0,0.0,0.06,./data/models/0_2_0_1_0.csv,0.00587028038051536,30
256,24,0.5,0.125,0.0,0.06,./data/models/0_2_0_1_1.csv,0.005870319737686069,21
257,24,0.5,0.25,0.0,0.06,./data/models/0_2_0_1_2.csv,0.005870711496209671,14
258,24,0.5,0.375,0.0,0.06,./data/models/0_2_0_1_3.csv,0.005870539159305991,33
259,24,0.5,0.5,0.0,0.06,./data/models/0_2_0_1_4.csv,0.005870925030974557,17
260,24,0.5,0.0,0.0,0.11,./data/models/0_2_0_2_0.csv,0.005871032374477934,21
261,24,0.5,0.125,0.0,0.11,./data/models/0_2_0_2_1.csv,0.005870939984700018,48
262,24,0.5,0.25,0.0,0.11,./data/models/0_2_0_2_2.csv,0.0058705924900506,23
263,24,0.5,0.375,0.0,0.11,./data/models/0_2_0_2_3.csv,0.005874119751022757,4
264,24,0.5,0.5,0.0,0.11,./data/models/0_2_0_2_4.csv,0.005874099633516962,11
265,24,0.5,0.0,0.0,0.16,./data/models/0_2_0_3_0.csv,0.005887204383584308,36
266,24,0.5,0.125,0.0,0.16,./data/models/0_2_0_3_1.csv,0.00587124265261151,16
267,24,0.5,0.25,0.0,0.16,./data/models/0_2_0_3_2.csv,0.005879273092631943,10
268,24,0.5,0.375,0.0,0.16,./data/models/0_2_0_3_3.csv,0.005871952810629169,11
269,24,0.5,0.5,0.0,0.16,./data/models/0_2_0_3_4.csv,0.005874331210480592,29
270,24,0.5,0.0,0.0,0.21,./data/models/0_2_0_4_0.csv,0.005896014402592104,20
271,24,0.5,0.125,0.0,0.21,./data/models/0_2_0_4_1.csv,0.005871398990258496,30
272,24,0.5,0.25,0.0,0.21,./data/models/0_2_0_4_2.csv,0.005877221958153061,21
273,24,0.5,0.375,0.0,0.21,./data/models/0_2_0_4_3.csv,0.005870856971458474,9
274,24,0.5,0.5,0.0,0.21,./data/models/0_2_0_4_4.csv,0.005873106455183822,47
275,24,0.5,0.0,0.05,0.01,./data/models/0_2_1_0_0.csv,0.005870437489320343,46
276,24,0.5,0.125,0.05,0.01,./data/models/0_2_1_0_1.csv,0.005870408373316735,49
277,24,0.5,0.25,0.05,0.01,./data/models/0_2_1_0_2.csv,0.005870158657521937,26
278,24,0.5,0.375,0.05,0.01,./data/models/0_2_1_0_3.csv,0.005870121600256402,39
279,24,0.5,0.5,0.05,0.01,./data/models/0_2_1_0_4.csv,0.005870150116156566,22
